FAC1_1,FAC2_1,FAC3_1,FAC4_1
-0.806825453,1.055633996,-0.797279847,-0.766067756
-0.279726911,0.909051065,1.624359992,-1.05775204
-1.222176177,1.376627276,-0.207348519,-0.621994937
1.207667519,1.298351382,0.54303034,-1.002826852
-1.117609518,-0.110468526,1.748855465,1.398736872
0.975724706,1.51976033,1.106029592,-0.582692231
-1.229232657,-0.510414983,0.303750687,1.022510332
-0.512799007,-0.644731832,0.763378718,1.723767629
-0.798484442,0.632875185,1.489318903,-1.506316061
0.519829525,-0.381838222,1.602403695,1.440189572
0.509329613,0.448098916,-0.046845919,-1.588208822
-0.330975514,0.296834171,-0.235051364,0.830646531
-0.10615801,1.986708604,0.110284881,-0.617927933
-1.337874228,1.864091589,-1.604927868,-0.413553304
-0.984395269,0.629110736,1.534630475,-1.471048191
0.178432698,0.985196532,-0.500770098,-1.311890213
0.542143492,0.961083196,-0.531674901,-0.802877183
-1.313034671,0.544218837,-1.615470181,1.248051543
-0.859344096,1.29046931,-1.895800696,-0.890906009
-0.417893842,-0.924094838,-0.795565232,1.131732488
-0.11384228,0.448876427,0.625652447,-1.09298196
0.545182313,0.355707514,-0.095041728,0.907583026
0.308131475,-0.3361148,0.491534531,-0.387484101
0.590437507,1.429345591,0.057297895,-0.595986782
-1.457304348,0.466671204,-1.402423426,1.775413781
0.289502233,-0.54847361,0.754191651,1.213897702
0.361801583,1.233862411,1.094805597,-0.717977509
0.09542664,0.012148963,0.565904358,0.014356376
-0.332405074,1.295404445,-0.9621308,-0.917539624
-1.259825127,0.386063389,-0.655405258,2.146034371
0.845312177,-0.56052417,0.639330651,1.812507188
-0.896950395,1.550001683,1.620566518,-0.539050905
-0.385772674,0.946424632,1.555800053,-0.81956085
-0.084359475,1.563137483,1.55379465,-1.156834905
0.339219483,0.301834102,1.629660118,-1.226660766
0.869519667,0.998412204,1.039076569,-1.216324849
0.790750273,1.052199623,1.153805474,-1.026127049
0.369248992,1.479002149,1.566246369,-1.110912186
-0.057212532,1.456752403,-0.324243157,-0.84892879
-0.16592495,0.181661408,-0.225158122,0.994370417
1.203610397,0.896077388,1.014862129,0.993485323
-1.059356473,0.395274493,-0.677586071,1.615805948
0.548884924,-0.338127375,0.150590453,2.164448775
-0.855939953,-0.705460037,0.292738569,1.855700645
0.38056166,0.474066381,0.149161478,1.31522445
0.087964652,-0.637849307,-0.337883978,1.42445944
-0.659826737,0.670083972,0.72927263,0.620375236
0.636055352,1.792222491,-0.012742873,-1.068260807
-0.877686022,0.041624221,-0.438437193,0.94543492
0.749524462,-0.596109944,-0.555782623,0.085993187
0.075448808,-0.112610762,1.086681692,-0.211203394
1.859406257,-0.06170545,-1.478282015,1.936585233
-1.580999949,0.744519074,-1.013043772,-1.049615999
0.666392017,1.180226209,-0.050592427,-1.201842751
-1.477161501,0.904657889,0.21201012,-1.059454129
1.220926242,1.664345511,0.522569254,-1.07653399
-0.274511408,0.475921948,1.402651538,0.856706708
1.298297734,1.082314292,-0.012204207,-1.031119379
-1.199217142,0.657785252,-1.261174315,-0.208166243
-0.209028343,0.820251054,1.026021526,1.85844646
0.708331806,0.772806111,1.050028019,-1.738885718
2.317911686,-0.431895475,-1.61106967,1.595957835
1.016826712,0.110251919,1.769580464,1.713863037
0.180620387,1.193527529,-0.509492942,-1.033638774
-1.162236812,-0.240269729,0.25253213,1.391941997
1.822284604,0.491978851,-0.644203304,2.60093035
-0.584041097,0.827944586,0.607628644,-1.081891774
-0.920945495,0.992535229,0.118603946,-1.27749946
-0.481849841,-0.034939847,1.717597681,1.454413026
2.327519244,0.652535271,-1.641011311,2.340759571
-1.119077638,0.280391355,-0.857420473,0.050422855
0.449523198,1.551902093,-1.016330475,-0.853710396
-1.388498053,0.382635385,-0.197968246,-1.237769065
-0.065088416,0.753925355,0.069949237,-1.190609833
-0.77795501,0.872400246,0.148588889,-1.369987459
-1.444947221,-0.111662604,-0.101046225,0.47630693
-0.929314222,1.004219157,0.13742486,0.151544908
0.224630199,1.651059443,0.110552896,-0.589773276
1.342140785,1.240742981,-0.708496413,-1.08190859
0.565976566,-0.135670021,0.575177074,1.458679514
0.992487391,0.681810243,-0.038392229,-1.448391791
0.210199356,1.40963415,-0.553747038,-0.930994134
-1.382487683,-0.566679115,-0.187932088,0.33043113
